,cluster,prometheus,prometheus_replica,_sample_start,_sample_end,_min_time,_max_time,_count,_sum,_min,_max
77,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 01:15:00,2022-05-31 01:30:00,2022-05-31 01:15:20,2022-05-31 01:29:50,30,222.27921594835607,7.039333333343358,7.753809523797553
78,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 01:30:00,2022-05-31 01:45:00,2022-05-31 01:30:20,2022-05-31 01:44:50,30,220.24930881122106,7.031031668635407,7.754285714271971
79,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 01:45:00,2022-05-31 02:00:00,2022-05-31 01:45:20,2022-05-31 01:59:50,30,226.84998303985722,6.919238095240493,8.506476190475572
80,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 02:00:00,2022-05-31 02:15:00,2022-05-31 02:00:20,2022-05-31 02:14:50,30,225.05833410300446,7.120380952382197,7.855523809520086
81,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 02:15:00,2022-05-31 02:30:00,2022-05-31 02:15:20,2022-05-31 02:29:50,30,223.12786909800604,7.017454866021863,7.956857142867965
82,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 02:30:00,2022-05-31 02:45:00,2022-05-31 02:30:20,2022-05-31 02:44:50,30,219.1986510603598,6.928285714292105,7.683494027438322
83,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 02:45:00,2022-05-31 03:00:00,2022-05-31 02:45:20,2022-05-31 02:59:50,30,222.53665490580153,7.121619047608138,7.72705216844131
84,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 03:00:00,2022-05-31 03:15:00,2022-05-31 03:00:20,2022-05-31 03:14:50,30,227.32859304326473,7.0091428571402865,8.011955857315408
85,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 03:15:00,2022-05-31 03:30:00,2022-05-31 03:15:20,2022-05-31 03:29:50,30,222.625652534105,6.868857142859186,7.944190476187287
86,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 03:30:00,2022-05-31 03:45:00,2022-05-31 03:30:20,2022-05-31 03:44:50,30,223.83915997710628,7.052571428576041,7.954477651841731
87,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 03:45:00,2022-05-31 04:00:00,2022-05-31 03:45:20,2022-05-31 03:59:50,30,224.34650654623238,6.9657142857156185,7.799428571432477
88,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 04:00:00,2022-05-31 04:15:00,2022-05-31 04:00:20,2022-05-31 04:14:50,30,227.78122100065843,7.026190476201563,7.983523809523988
89,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 04:15:00,2022-05-31 04:30:00,2022-05-31 04:15:20,2022-05-31 04:29:50,30,221.72772723578404,7.048380952386097,7.779047619045849
90,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 04:30:00,2022-05-31 04:45:00,2022-05-31 04:30:20,2022-05-31 04:44:50,30,221.9335305320188,7.070156006764967,7.671333333326593
91,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 04:45:00,2022-05-31 05:00:00,2022-05-31 04:45:20,2022-05-31 04:59:50,30,222.17895397731843,7.103619047620201,7.654005392890267
92,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 05:00:00,2022-05-31 05:15:00,2022-05-31 05:00:20,2022-05-31 05:14:50,30,229.9291614318432,6.906285714284916,9.060476190470428
93,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 05:15:00,2022-05-31 05:30:00,2022-05-31 05:15:20,2022-05-31 05:29:50,30,234.68512746585975,6.82875933075472,9.430325944863394
94,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 05:30:00,2022-05-31 05:45:00,2022-05-31 05:30:20,2022-05-31 05:44:50,30,211.5238621922648,6.6657142857045315,7.409428571430702
95,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 05:45:00,2022-05-31 06:00:00,2022-05-31 05:45:20,2022-05-31 05:59:50,30,210.92942027586258,6.798857142860515,7.231809523810322
96,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 06:00:00,2022-05-31 06:15:00,2022-05-31 06:00:20,2022-05-31 06:14:50,30,212.18864175132026,6.686095238102245,7.4566666666706585
97,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 06:15:00,2022-05-31 06:30:00,2022-05-31 06:15:20,2022-05-31 06:29:50,30,208.63726716382908,6.5668571428418,7.2468571428542194
98,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 06:30:00,2022-05-31 06:45:00,2022-05-31 06:30:20,2022-05-31 06:44:50,30,209.48931738829242,6.492666666659839,7.500857142855725
99,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 06:45:00,2022-05-31 07:00:00,2022-05-31 06:45:20,2022-05-31 06:59:50,30,208.14495259864788,6.5984761904747735,7.2470476190470885
100,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 07:00:00,2022-05-31 07:15:00,2022-05-31 07:00:20,2022-05-31 07:14:50,30,216.14089650448702,6.789619047622688,7.9502378458209195
101,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 07:15:00,2022-05-31 07:30:00,2022-05-31 07:15:20,2022-05-31 07:29:50,30,205.50187426428442,6.461047619042388,7.307523809524166
102,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 07:30:00,2022-05-31 07:45:00,2022-05-31 07:30:20,2022-05-31 07:44:50,30,204.85330793487424,6.498571428576753,7.325238095239429
